"team","id","name","photo_url","position","evaluation"
"corinthians","ralf","Ralf","https://s.glbimg.com/es/sde/f/2018/03/20/8642b2d09ae09e94e978e70d01b2cb69_80x80.png","VOL","3"
"corinthians","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_80x80.png","MEC","4"
"corinthians","mateus-vital","Mateus Vital","https://s.glbimg.com/es/sde/f/2018/03/20/737d7c44d8457c420b7d44f962dc43a2_80x80.png","MEC","3"
"corinthians","marquinhos-gabriel","Marquinhos Gabriel","https://s.glbimg.com/es/sde/f/2018/03/20/e4194c2bbdf34fa12da281428a823667_80x80.png","MEC","4"
"corinthians","clayson","Clayson","https://s.glbimg.com/es/sde/f/2018/03/19/8d90e0a2771563f6cb02d576edbed6ed_80x80.png","ATA","3"
"corinthians","emerson-sheik","Emerson Sheik","https://s.glbimg.com/es/sde/f/2018/03/20/ee5515039eef72f54101762640fb53f5_80x80.png","ATA","3"
"corinthians","sidcley","Sidcley","https://s.glbimg.com/es/sde/f/2018/03/23/9db2d3b03abd4966fab935ec9672a2f8_80x80.png","LAE","3"
"corinthians","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2018/03/20/8b306efa7463aa34e658516c465f664e_80x80.png","VOL","3"
"corinthians","angel-romero","Ángel Romero","https://s.glbimg.com/es/sde/f/2018/03/20/292916e18c1ce65fc08c89adaf9bc787_80x80.png","ATA","3"
"corinthians","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fd39c1e3c30b0a5e0900d4c03b66984_80x80.png","ZAD","4"
"corinthians","matheus-matias","Matheus Matias","https://s.glbimg.com/es/sde/f/2018/03/20/eb73de7fb8328542fb0438fdd1809c4b_80x80.png","ATA","4"
"corinthians","juninho-capixaba","Juninho Capixaba","https://s.glbimg.com/es/sde/f/2018/03/20/8f8212f9c28a01b34b99705103fa08d8_80x80.png","LAE","5"
"corinthians","junior-dutra","Júnior Dutra","https://s.glbimg.com/es/sde/f/2018/03/20/c8437e142fdd78fc9a58612ecb464b3f_80x80.png","ATA","5"
"corinthians","kazim","Kazim","https://s.glbimg.com/es/sde/f/2018/03/20/2b1aef192298682a8f7aafb1efaf4147_80x80.png","ATA","6"
"flamengo","paolo-guerrero","Paolo Guerrero","https://s.glbimg.com/es/sde/f/2017/08/16/aec506211b5663eb0569825b5aee6db6_80x80.jpeg","ATA","1"
"flamengo","diego","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_80x80.jpeg","MEC","2"
"flamengo","vinicius-junior","Vinicius Junior","https://s.glbimg.com/es/sde/f/2017/08/22/0d561ddc8dda735fc3ab96a8866e90d0_80x80.jpeg","ATA","2"
"flamengo","juan","Juan","https://s.glbimg.com/es/sde/f/2017/08/16/8083bd36b95c924dc4cf0341e39d22e4_80x80.jpeg","ZAE","2"
"flamengo","lucas-paqueta","Lucas Paquetá","https://s.glbimg.com/es/sde/f/2017/08/22/b377d3036c1d03d40bafc65a9773ddc4_80x80.jpeg","MEC","2"
"flamengo","rever","Réver","https://s.glbimg.com/es/sde/f/2017/08/16/85d20e5a1ac2e527a5eca70e709f7b10_80x80.jpeg","ZAD","3"
"flamengo","everton-ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2017/06/24/7deee286983361a4845652b6c39be834_80x80.png","MEC","3"
"flamengo","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/03/17/067bb395e6a319c1b315da82d992c4f6_80x80.png","GOL","2"
"flamengo","rhodolfo","Rhodolfo","https://s.glbimg.com/es/sde/f/2017/06/20/fa889cb0da25023565bc57fe3fa29fde_80x80.png","ZAE","3"
"flamengo","henrique-dourado","Henrique Dourado","https://s.glbimg.com/es/sde/f/2018/03/08/5d6a3a7c40bbf9f4d07b75169fc9be0f_80x80.png","ATA","3"
"flamengo","cuellar","Cuéllar","https://s.glbimg.com/es/sde/f/2017/08/16/47b4cc4af08862b4cf6685d475edd618_80x80.jpeg","VOL","3"
"flamengo","cesar","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_80x80.png","GOL","4"
"flamengo","geuvanio","Geuvânio","https://s.glbimg.com/es/sde/f/2017/08/19/6ed768c25192e0409297a3bc10cc1eca_80x80.png","ATA","4"
"flamengo","marlos","Marlos","https://s.glbimg.com/es/sde/f/2018/03/24/1f32f4ee7772ddc25dde8057615c658f_80x80.png","ATA","4"
"flamengo","para","Pará","https://s.glbimg.com/es/sde/f/2017/08/16/2215936db5460baf89bb165cdfc691b4_80x80.jpeg","LAD","4"
"flamengo","rodinei","Rodinei","https://s.glbimg.com/es/sde/f/2017/08/22/3d68a6ab1db666a905e96248e4bcd4d9_80x80.jpeg","LAD","4"
"flamengo","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2017/08/22/283b47a1bbb66d81e0b2118ce53853f1_80x80.jpeg","VOL","5"
"flamengo","rene","Renê","https://s.glbimg.com/es/sde/f/2017/08/22/99c083a6ab42125b85a679e552eea687_80x80.jpeg","LAE","5"
"flamengo","trauco","Trauco","https://s.glbimg.com/es/sde/f/2017/08/22/c4c0a5b479bb7a6641f7182c7000df82_80x80.jpeg","LAE","5"
"flamengo","everton","Everton","https://s.glbimg.com/es/sde/f/2017/08/16/eea748e91cc2c7fcc14df5b06906b1e1_80x80.jpeg","MEC","2"
"flamengo","berrio","Berrío ","https://s.glbimg.com/es/sde/f/2017/08/16/8f979b78f3df5801a77118cd72b411c6_80x80.jpeg","ATA","4"
"flamengo","jonas","Jonas","https://s.glbimg.com/es/sde/f/2018/03/23/b1dff93baf0e7bbccc6e54768a31ed68_80x80.png","VOL","4"
"santos","vanderlei","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_80x80.png","GOL","1"
"santos","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/01/1483ff1b3cb82fa23bc8625656564b18_80x80.png","ATA","2"
"santos","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/02/19/6fc23a37c23198ad6b9da39da99ad82b_80x80.png","ATA","2"
"santos","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_80x80.png","LAD","3"
"santos","dodo","Dodô","https://s.glbimg.com/es/sde/f/2018/03/21/651f1bf4b51db0c365f67cbdc4d37b19_80x80.png","LAE","3"
